origin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
13,838875.0,375569.0,308147.0,21512.0,412966.0,3115.0,375996.0,1321624.0,147954.0,213418.0,136548.0,1135946.0,NA,435232.0,80535.0,941612.0,278238.0,45294.0,401504.0,879874.0,1756520.0,67297.0,96461.0,440768.0,254104.0,822718.0,288213.0,205565.0,1174916.0,213263.0,519413.0,396801.0,1084227.0,168090.0,542206.0,1624.0,176123.0,18340.0,214465.0,334724.0,761023.0,230586.0,623434.0,1233166.0,284768.0,879333.0,357188.0,261821.0,1466.0,748205.0
14,791785.0,86736.0,337781.0,40164.0,436514.0,109196.0,356424.0,778745.0,99242.0,87604.0,104257.0,471045.0,449731.0,NA,167239.0,266981.0,147522.0,21958.0,162119.0,500594.0,411793.0,81230.0,65324.0,666329.0,165885.0,394275.0,240701.0,146774.0,924026.0,33422.0,594069.0,311028.0,424315.0,119074.0,39381.0,83257.0,127192.0,60391.0,1597.0,630.0,227098.0,66409.0,131907.0,273711.0,1967.0,363363.0,204239.0,322866.0,61084.0,418317.0
15,309340.0,56.0,270181.0,268.0,37.0,8.0,252112.0,326169.0,14255.0,8437.0,71.0,87287.0,89270.0,162933.0,NA,24024.0,215.0,293.0,212.0,40872.0,28235.0,79.0,232.0,224660.0,175.0,114045.0,2800.0,744.0,54801.0,54.0,241438.0,110208.0,519.0,1430.0,371.0,NA,12496.0,144.0,5.0,75.0,321.0,633.0,1807.0,428.0,618.0,442.0,993.0,135101.0,529.0,283352.0
16,971204.0,427575.0,288078.0,135146.0,372179.0,1965.0,396080.0,994317.0,106090.0,109413.0,75016.0,1265598.0,940717.0,268762.0,23618.0,NA,144825.0,106369.0,188373.0,656228.0,1268961.0,43304.0,159358.0,772031.0,37170.0,248456.0,248591.0,666135.0,1098348.0,261485.0,604694.0,192917.0,496479.0,144758.0,144818.0,398.0,129345.0,17098.0,36302.0,93654.0,185787.0,437819.0,392741.0,665040.0,60001.0,353218.0,220665.0,386598.0,18352.0,589604.0
17,512377.0,1692.0,89909.0,261.0,104556.0,347.0,202451.0,362870.0,85.0,493.0,26.0,239890.0,297875.0,145255.0,465.0,134436.0,NA,8452.0,60348.0,147900.0,133367.0,NA,21.0,108413.0,344.0,162061.0,642.0,5815.0,312997.0,131.0,234384.0,99366.0,155558.0,1536.0,761.0,317.0,23489.0,32.0,65.0,654.0,11206.0,1472.0,585.0,45006.0,1609.0,644.0,70.0,137678.0,392.0,226639.0
18,758906.0,451.0,134822.0,NA,63518.0,549.0,261031.0,140056.0,14450.0,174.0,326.0,146825.0,49898.0,22156.0,430.0,103455.0,9158.0,NA,2773.0,13838.0,1496.0,NA,8582.0,171555.0,61.0,20688.0,87557.0,9735.0,366580.0,598.0,164.0,72688.0,968.0,14319.0,99.0,346.0,282.0,10471.0,82.0,43.0,159.0,106.0,2463.0,199.0,112.0,29.0,5671.0,12226.0,215.0,178026.0
19,518488.0,2641.0,90443.0,463.0,59251.0,294.0,153165.0,570320.0,17718.0,2853.0,3050.0,496217.0,406348.0,154005.0,964.0,194077.0,56478.0,1665.0,NA,229853.0,286874.0,1053.0,540.0,80057.0,60543.0,235356.0,124659.0,41375.0,193802.0,582.0,176835.0,68676.0,238551.0,1246.0,64211.0,193.0,3757.0,42.0,721.0,3148.0,68687.0,9482.0,64821.0,91311.0,3123.0,110970.0,122231.0,71864.0,332.0,178784.0
20,752678.0,207042.0,297924.0,46231.0,169029.0,89789.0,277735.0,1186414.0,118822.0,186026.0,117733.0,985303.0,877717.0,507914.0,37992.0,642943.0,149070.0,8332.0,227411.0,NA,2114221.0,43386.0,15634.0,434758.0,183670.0,514642.0,149171.0,136227.0,934665.0,89908.0,180244.0,342773.0,593367.0,119203.0,400998.0,965.0,56626.0,1236.0,170317.0,313728.0,500682.0,183858.0,496300.0,1605589.0,423725.0,801962.0,229903.0,112782.0,1080.0,200776.0
21,1256652.0,431652.0,288865.0,839.0,687588.0,25006.0,350105.0,2072588.0,106017.0,146267.0,78137.0,1930672.0,1694163.0,420093.0,28301.0,1253875.0,133177.0,2034.0,279779.0,2095603.0,NA,2721.0,37229.0,823566.0,54524.0,772469.0,253908.0,287715.0,2718483.0,54532.0,466959.0,362746.0,1739639.0,50209.0,1060494.0,1101.0,107160.0,996.0,14373.0,1158301.0,1045413.0,207710.0,328423.0,4090711.0,1158824.0,2064969.0,240721.0,86935.0,114.0,750596.0
22,327282.0,387.0,119408.0,2.0,796.0,397.0,139842.0,276978.0,7.0,9.0,89.0,114892.0,71119.0,77535.0,66.0,41587.0,258.0,NA,79.0,47301.0,2303.0,NA,NA,17631.0,1.0,61881.0,68.0,140.0,74221.0,201.0,55355.0,27115.0,41549.0,477.0,104.0,130.0,576.0,NA,216.0,485.0,580.0,747.0,903.0,233.0,21.0,67.0,7.0,46078.0,38.0,64283.0
23,431634.0,14161.0,46491.0,NA,158.0,101.0,175866.0,203685.0,19172.0,177.0,362.0,280113.0,99540.0,66326.0,199.0,162240.0,256.0,9040.0,260.0,16786.0,39316.0,72.0,NA,32136.0,236.0,74455.0,160.0,3213.0,96999.0,293.0,62018.0,40929.0,19371.0,127.0,485.0,41.0,261.0,12.0,41.0,352.0,35.0,496.0,150.0,171.0,1.0,NA,12.0,45912.0,7.0,42879.0
24,2745792.0,171338.0,923741.0,24258.0,941337.0,82283.0,966557.0,1282456.0,105181.0,146251.0,69145.0,1217111.0,441671.0,665710.0,226247.0,758328.0,112485.0,175651.0,76769.0,427435.0,818591.0,17523.0,30704.0,NA,37268.0,231606.0,230735.0,242024.0,5079924.0,1541.0,580067.0,908730.0,197605.0,190604.0,491.0,122208.0,232550.0,48601.0,1295.0,261.0,18558.0,43655.0,89553.0,376551.0,425.0,110231.0,127793.0,502351.0,35476.0,949028.0
25,428381.0,436.0,92657.0,113.0,83043.0,9.0,82512.0,204407.0,16730.0,18759.0,10.0,184957.0,252460.0,167422.0,259.0,35445.0,417.0,80.0,56923.0,187764.0,50604.0,4.0,294.0,40308.0,NA,275474.0,527.0,4143.0,228166.0,406.0,194852.0,63015.0,189846.0,527.0,708.0,199.0,810.0,50.0,861.0,1205.0,298.0,134.0,20890.0,49019.0,1935.0,65782.0,49827.0,65761.0,19.0,92915.0
26,765074.0,82145.0,236239.0,NA,354322.0,37105.0,275832.0,1386958.0,106775.0,91169.0,93120.0,501380.0,826027.0,399072.0,117579.0,242137.0,160668.0,19727.0,235927.0,505595.0,768018.0,61334.0,71112.0,225043.0,269449.0,NA,108155.0,56105.0,785639.0,44751.0,417537.0,285049.0,690716.0,102778.0,263006.0,16.0,104791.0,20167.0,35993.0,88306.0,278953.0,64789.0,213787.0,442087.0,72689.0,554592.0,280342.0,182625.0,8446.0,457586.0
27,442881.0,82940.0,197753.0,NA,175165.0,1328.0,251199.0,546147.0,21611.0,101753.0,70271.0,451223.0,295999.0,243921.0,1086.0,243463.0,623.0,88701.0,122535.0,149188.0,258337.0,30.0,197.0,233813.0,1815.0,107512.0,NA,115110.0,425534.0,272.0,188563.0,182774.0,104647.0,39948.0,858.0,1046.0,117142.0,1036.0,250.0,4107.0,30771.0,70155.0,56080.0,75291.0,1962.0,85943.0,72878.0,141011.0,137.0,231977.0
28,746157.0,40985.0,112299.0,9.0,64071.0,48.0,220706.0,353624.0,11984.0,629.0,1361.0,585485.0,208447.0,150492.0,911.0,677208.0,4526.0,8945.0,41501.0,140582.0,287824.0,281.0,3568.0,246091.0,4464.0,56778.0,119966.0,NA,383158.0,2206.0,167237.0,94347.0,56614.0,13580.0,95.0,535.0,1980.0,347.0,1054.0,1716.0,34949.0,33117.0,42313.0,82120.0,2606.0,57061.0,58994.0,107266.0,193.0,227876.0
29,2241353.0,400896.0,285277.0,23759.0,1579027.0,467524.0,1522350.0,3083339.0,276463.0,374549.0,308274.0,1526250.0,1123463.0,924273.0,52430.0,1081939.0,319779.0,370694.0,193450.0,935537.0,2697541.0,77559.0,99780.0,5056932.0,229832.0,797107.0,430358.0,387990.0,NA,9467.0,2451064.0,248176.0,699319.0,342808.0,201727.0,51124.0,705081.0,186497.0,17906.0,45529.0,337092.0,75062.0,438198.0,2018054.0,45666.0,650735.0,400273.0,953878.0,194526.0,976643.0
30,237199.0,529.0,33894.0,12.0,452.0,75.0,47280.0,131993.0,NA,49.0,624.0,344754.0,206420.0,29578.0,39.0,275282.0,150.0,25.0,290.0,90387.0,51593.0,200.0,158.0,736.0,56.0,44490.0,515.0,1591.0,11441.0,NA,10564.0,503.0,76229.0,76.0,464.0,50.0,593.0,125.0,570.0,526.0,40917.0,2381.0,977.0,20773.0,170.0,24483.0,60702.0,917.0,84.0,21281.0
31,1377029.0,155083.0,552925.0,70477.0,406043.0,192830.0,500386.0,1138299.0,196098.0,210702.0,149058.0,786898.0,540121.0,589930.0,240628.0,619658.0,229605.0,333.0,173997.0,182641.0,466864.0,53218.0,61342.0,595158.0,191311.0,425096.0,189929.0,165730.0,2405689.0,10142.0,NA,822786.0,210293.0,268477.0,353.0,282305.0,199877.0,71976.0,1986.0,2948.0,206866.0,74825.0,102491.0,168774.0,2506.0,130872.0,259685.0,161.0,52539.0,692005.0
32,854195.0,48242.0,58014.0,20111.0,601896.0,76654.0,429273.0,945654.0,117683.0,99659.0,112119.0,558747.0,394936.0,316606.0,118127.0,197642.0,110257.0,68219.0,67306.0,340891.0,354434.0,29294.0,39677.0,899638.0,64874.0,284059.0,178585.0,92112.0,255541.0,689.0,827506.0,NA,382479.0,149758.0,12836.0,138381.0,217120.0,88260.0,1226.0,1707.0,71517.0,15112.0,135746.0,312481.0,613.0,150373.0,147934.0,342246.0,110618.0,137868.0
33,574155.0,267678.0,253285.0,2426.0,217589.0,46697.0,482955.0,1128176.0,20417.0,84425.0,122488.0,898384.0,1082738.0,420796.0,1707.0,496909.0,154036.0,392.0,247833.0,598135.0,1789206.0,47460.0,18804.0,209740.0,183430.0,670271.0,100600.0,57299.0,700640.0,70487.0,208013.0,400755.0,NA,124291.0,439593.0,3558.0,44067.0,1760.0,492069.0,403643.0,610798.0,206392.0,591450.0,955544.0,392673.0,792620.0,248882.0,148153.0,433.0,221158.0
