METRO_AREA_origin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21,327282,387,119408,2,796,397,139842,276978,7,9,89,114892,71119,77535,66,41587,258,NA,79,47301,2303,NA,NA,17631,1,61881,68,140,74221,201,55355,27115,41549,477,104,130,576,NA,216,485,580,747,903,233,21,67,7,46078,38,64283
22,431634,14161,46491,NA,158,101,175866,203685,19172,177,362,280113,99540,66326,199,162240,256,9040,260,16786,39316,72,NA,32136,236,74455,160,3213,96999,293,62018,40929,19371,127,485,41,261,12,41,352,35,496,150,171,1,NA,12,45912,7,42879
23,2745792,171338,923741,24258,941337,82283,966557,1282456,105181,146251,69145,1217111,441671,665710,226247,758328,112485,175651,76769,427435,818591,17523,30704,NA,37268,231606,230735,242024,5079924,1541,580067,908730,197605,190604,491,122208,232550,48601,1295,261,18558,43655,89553,376551,425,110231,127793,502351,35476,949028
24,428381,436,92657,113,83043,9,82512,204407,16730,18759,10,184957,252460,167422,259,35445,417,80,56923,187764,50604,4,294,40308,NA,275474,527,4143,228166,406,194852,63015,189846,527,708,199,810,50,861,1205,298,134,20890,49019,1935,65782,49827,65761,19,92915
25,765074,82145,236239,NA,354322,37105,275832,1386958,106775,91169,93120,501380,826027,399072,117579,242137,160668,19727,235927,505595,768018,61334,71112,225043,269449,NA,108155,56105,785639,44751,417537,285049,690716,102778,263006,16,104791,20167,35993,88306,278953,64789,213787,442087,72689,554592,280342,182625,8446,457586
26,442881,82940,197753,NA,175165,1328,251199,546147,21611,101753,70271,451223,295999,243921,1086,243463,623,88701,122535,149188,258337,30,197,233813,1815,107512,NA,115110,425534,272,188563,182774,104647,39948,858,1046,117142,1036,250,4107,30771,70155,56080,75291,1962,85943,72878,141011,137,231977
27,746157,40985,112299,9,64071,48,220706,353624,11984,629,1361,585485,208447,150492,911,677208,4526,8945,41501,140582,287824,281,3568,246091,4464,56778,119966,NA,383158,2206,167237,94347,56614,13580,95,535,1980,347,1054,1716,34949,33117,42313,82120,2606,57061,58994,107266,193,227876
28,2241353,400896,285277,23759,1579027,467524,1522350,3083339,276463,374549,308274,1526250,1123463,924273,52430,1081939,319779,370694,193450,935537,2697541,77559,99780,5056932,229832,797107,430358,387990,NA,9467,2451064,248176,699319,342808,201727,51124,705081,186497,17906,45529,337092,75062,438198,2018054,45666,650735,400273,953878,194526,976643
29,237199,529,33894,12,452,75,47280,131993,NA,49,624,344754,206420,29578,39,275282,150,25,290,90387,51593,200,158,736,56,44490,515,1591,11441,NA,10564,503,76229,76,464,50,593,125,570,526,40917,2381,977,20773,170,24483,60702,917,84,21281
30,1377029,155083,552925,70477,406043,192830,500386,1138299,196098,210702,149058,786898,540121,589930,240628,619658,229605,333,173997,182641,466864,53218,61342,595158,191311,425096,189929,165730,2405689,10142,NA,822786,210293,268477,353,282305,199877,71976,1986,2948,206866,74825,102491,168774,2506,130872,259685,161,52539,692005
31,854195,48242,58014,20111,601896,76654,429273,945654,117683,99659,112119,558747,394936,316606,118127,197642,110257,68219,67306,340891,354434,29294,39677,899638,64874,284059,178585,92112,255541,689,827506,NA,382479,149758,12836,138381,217120,88260,1226,1707,71517,15112,135746,312481,613,150373,147934,342246,110618,137868
32,574155,267678,253285,2426,217589,46697,482955,1128176,20417,84425,122488,898384,1082738,420796,1707,496909,154036,392,247833,598135,1789206,47460,18804,209740,183430,670271,100600,57299,700640,70487,208013,400755,NA,124291,439593,3558,44067,1760,492069,403643,610798,206392,591450,955544,392673,792620,248882,148153,433,221158
33,436256,4045,98714,247,142892,324,292889,457789,1165,184,202,191731,174893,112053,1323,136506,1200,14849,891,124747,46953,363,527,190578,832,101763,40745,13350,333618,340,266262,142306,128099,NA,907,410,27833,3,1460,707,691,614,411,38502,721,173,37244,132632,157,139735
34,228022,37149,10119,18,88507,703,52322,501171,NA,7593,241,346124,523259,39831,78,148339,75,NA,64624,398614,1069840,67,18,341,303,256486,1391,1854,206928,495,5410,12380,432678,62,NA,421,1847,NA,120274,251431,348940,921,243918,876946,303456,674961,50791,1512,55,102158
35,132674,874,307472,82,3,546,181084,205122,294,166,422,787,3320,85126,NA,1047,108,356,519,1653,372,81,564,123027,151,189,1045,681,48490,163,281289,133912,473,289,307,NA,469,18,104,184,NA,1007,770,705,61,371,440,94053,909,155915
36,720628,2622,240550,334,257084,595,331650,431431,28670,26873,15370,263591,179924,130806,14678,124440,23687,238,4130,56374,99573,811,248,233781,291,102016,117675,2206,703218,122,199880,212988,41094,28311,443,1601,NA,297,133,105,38537,1269,484,75326,397,54386,61300,114293,46,252040
37,519299,977,25,NA,157390,96,254413,150838,6,NA,200,102169,18827,60724,188,18537,57,9698,195,816,NA,NA,233,48458,79,20383,3,667,189802,130,72498,83837,32,69,NA,46,131,NA,NA,NA,NA,143,18,4,NA,NA,72,14084,273,43950
38,1313,1298,1183,115,64,3,1491,111910,NA,80,1009,320279,220353,228,40,37437,952,137,826,166785,15918,302,NA,660,471,31172,3489,657,18937,266,583,925,476857,763,121131,NA,NA,1,NA,238451,113631,1657,359,533732,134060,261802,812,276,NA,1583
39,109708,2249,26615,299,10575,171,48780,182257,NA,148,137,264436,322887,807,930,96425,1247,142,5234,299121,1148309,107,186,2830,2820,88995,3867,3639,46185,732,2427,227,416673,535,251076,NA,69,NA,235046,NA,156483,2018,349068,72071,NA,454064,2588,2699,39,38137
40,526460,66997,143750,536,139538,1384,100419,450566,79048,293,1322,459211,789260,223332,415,183214,10015,42,72848,493988,1057683,128,120,19180,669,267906,31862,35503,344173,39806,209973,72372,610744,597,346712,7,40797,NA,113545,156459,NA,65435,303544,545275,183652,493750,60616,1353,30,107640
41,455212,660,96835,145,1585,105,111306,236390,NA,1367,2633,850740,220099,65428,154,443436,211,390,11964,190214,208082,82,905,42210,706,61174,71824,35850,78804,2712,78760,15211,202624,1167,1178,805,1233,324,1197,1898,66767,NA,71297,32302,3348,54468,73026,36219,527,53299
42,410873,68336,127939,55,147332,512,136263,669664,81,1046,1381,670419,612529,131693,1221,346882,2963,3242,57809,481996,346007,1354,371,93635,19618,203529,54573,44217,457075,1678,104294,141984,592836,1523,244116,226,1029,222,NA,356911,297499,70634,NA,1231067,389055,541090,45851,6152,3477,165490
43,614941,282503,117386,2412,655694,1184,316461,1616727,48062,88861,42666,920939,1174462,272339,914,661036,44838,235,84113,1579262,4053921,385,107,389610,50633,423843,77114,81024,2034965,19610,178116,324433,947543,40469,869184,671,74615,105,535354,67294,567567,33947,1208402,NA,124,1428939,137449,3647,110,662300
44,82452,72241,13110,NA,32582,174,10604,146997,NA,976,1114,297464,271071,3776,23,64763,913,226,3799,408728,1151142,436,38,845,1072,72876,2860,2210,46076,665,581,1141,383804,1590,303572,56,1063,NA,132705,39,184233,3720,387281,125,NA,512944,3961,1734,67,964
45,549083,128049,126140,78,278946,384,154090,879566,13467,12724,897,641747,862476,362083,457,351335,136,19,109638,797182,2041013,562,22,114770,67735,541040,86118,61055,657145,25558,128181,153103,784681,893,686849,243,54235,NA,264349,447226,487932,58010,547110,1419604,518315,NA,114242,60454,42,301814
46,508748,43449,146556,17,91413,148,180868,584838,21494,32572,66119,488909,361324,203062,1141,224503,14,4392,120048,245735,234330,2,NA,126655,50665,277244,72302,59080,393179,64728,254685,152730,263019,37899,47996,1831,59112,453,1328,4220,63352,75081,44142,133587,2432,116292,NA,124449,348,245718
47,1075406,39076,310769,59263,178831,78371,414179,602556,97110,76260,86409,438428,270628,317768,139868,384873,139164,13112,72239,113051,81097,46919,45950,490943,75188,170666,146534,105718,952597,285,413,341181,149214,136186,873,90277,113650,15705,1603,855,1081,35213,3711,2599,1174,58429,124945,NA,2051,432284
48,451178,94,170633,163,136,260,289910,193690,61,262,5,81240,1687,61010,937,18253,217,83,285,563,51,37,101,36938,98,8259,521,927,181784,9,52750,108248,49,76,64,718,78,124,1,387,314,637,5014,149,1,208,1237,1045,NA,116571
49,1319968,120507,18,34365,998118,84884,552437,1277140,132552,154549,209035,934606,750381,422125,278911,565195,231609,181064,178079,193480,741616,61111,43088,927678,89564,450796,228750,238216,972396,21436,692237,142602,230446,138276,100131,159416,252030,42045,358,36543,106654,55374,156583,665024,600,287796,245931,420225,117735,NA
