"FACILITY_ID","POINT_ID","AIRPORT_CODE","AIRPORT_CODE2","AMTRAK_STATION_CODE","FERRY_TERMINAL_CODE","RAIL_ID","BIKE_ID","DATE_UPDATED","ADDRESS","CITY","STATE","ZIPCODE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","POINT_LON","POINT_LAT","FACILITY_TYPE","FERRY_TRANSIT","FERRY_INTERCITY","BUS_TRANSIT","BUS_INTERCITY","BUS_CODE_SHARE","BUS_SUPPLEMENTAL","RAIL_INTERCITY","RAIL_COMMUTER","RAIL_HEAVY","RAIL_LIGHT","AIR_SERVICE","BIKE_SHARE","BIKE_SYSTEM_ID","BIKE_SYSTEM","WEBSITE","NOTES","DATA_SOURCE","INTERCITY_SERVICE","TRANSIT_SERVICE","CBSA_CODE","CBSA_TYPE","MODES_SERVING","MODE_BUS","MODE_AIR","MODE_RAIL","MODE_FERRY","MODE_BIKE",
"DC2057101",8184,"","","",,"","31501",2016-07-05,"12th & Newton St NE","Washington","DC","20571","Washington-Arlington-Alexandria DC-VA-MD-WV","12th & Newton St NE",-76.991016,38.933668,-76.991016,38.933668,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2057201",8185,"","","",,"","31220",2016-07-05,"US Dept of State / Virginia Ave & 21st St NW","Washington","DC","20572","Washington-Arlington-Alexandria DC-VA-MD-WV","US Dept of State / Virginia Ave & 21st St NW",-77.046587,38.894919,-77.046587,38.894919,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2057301",114,"","","",,"","31218",2016-07-05,"L'Enfant Plaza / 7th & C St SW","Washington","DC","20573","Washington-Arlington-Alexandria DC-VA-MD-WV","L'Enfant Plaza / 7th & C St SW",-77.022241,38.886266,-77.021997,38.885516,12,3,3,1,0,0,0,0,1,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
"DC2057401",8186,"","","",,"","31219",2016-07-05,"10th St & Constitution Ave NW","Washington","DC","20574","Washington-Arlington-Alexandria DC-VA-MD-WV","10th St & Constitution Ave NW",-77.026013,38.893028,-77.026013,38.893028,12,3,3,1,0,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2057501",8187,"","","",,"","31211",2016-07-05,"Kennedy Center","Washington","DC","20575","Washington-Arlington-Alexandria DC-VA-MD-WV","Kennedy Center",-77.054845,38.895184,-77.054845,38.895184,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2057601",1792,"","","",,"","31613",2016-07-05,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","Washington","DC","20576","Washington-Arlington-Alexandria DC-VA-MD-WV","Eastern Market Metro / Pennsylvania Ave & 7th St SE",-76.995397,38.884000,-76.995560,38.884108,12,3,3,1,0,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
"DC2057701",8188,"","","",,"","31221",2016-07-05,"18th & M St NW","Washington","DC","20577","Washington-Arlington-Alexandria DC-VA-MD-WV","18th & M St NW",-77.041606,38.904742,-77.041606,38.904742,12,3,3,1,2,0,0,0,0,2,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2057801",1808,"","","",,"","31303",2016-07-05,"Tenleytown / Wisconsin Ave & Albemarle St NW","Washington","DC","20578","Washington-Arlington-Alexandria DC-VA-MD-WV","Tenleytown / Wisconsin Ave & Albemarle St NW",-77.079382,38.947607,-77.079627,38.948006,12,3,3,1,0,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
"DC2057901",8189,"","","",,"","31611",2016-07-05,"13th & H St NE","Washington","DC","20579","Washington-Arlington-Alexandria DC-VA-MD-WV","13th & H St NE",-76.988200,38.900300,-76.988200,38.900300,12,3,3,1,0,0,0,0,0,0,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,2,1,0,0,0,1,
"DC2058001",1785,"","","",,"","31620",2016-07-05,"5th & F St NW","Washington","DC","20580","Washington-Arlington-Alexandria DC-VA-MD-WV","5th & F St NW",-77.019347,38.897222,-77.018456,38.897216,12,3,3,1,0,0,0,0,0,1,3,0,1,56,"Capital Bikeshare","www.capitalbikeshare.com/","","",0,1,47900,1,3,1,0,1,0,1,
